,metric,DCS,DCS modified v1,DCS modified v2,Two Autoencoders
DCS,pearson,1.0,0.8501067391385259,0.07566157214388704,0.3846730627355087
DCS modified v1,pearson,0.0,1.0,0.10410988966022681,0.5205228832757727
DCS modified v2,pearson,0.0,0.0,1.0,0.24132159301718004
Two Autoencoders,pearson,0.0,0.0,0.0,1.0
DCS,spearman,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v1,spearman,0.0,1.0,0.00018267179110955002,0.00018267179110955002
DCS modified v2,spearman,0.0,0.0,1.0,0.00018267179110955002
Two Autoencoders,spearman,0.0,0.0,0.0,1.0
DCS,accuracy,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v1,accuracy,0.0,1.0,0.00018267179110955002,0.00018267179110955002
DCS modified v2,accuracy,0.0,0.0,1.0,0.00018267179110955002
Two Autoencoders,accuracy,0.0,0.0,0.0,1.0
